@relation 'North Shore Oahu'

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
2.93,14.29,301,5.13,16.139999,313.029968,15
2.9,15.38,303,5.13,16.139999,313.029968,15
2.8,15.38,312,5.13,16.139999,313.029968,15
3.03,14.29,305,5.13,16.139999,313.029968,15
2.69,15.38,307,5.13,16.139999,313.029968,15
3.22,15.38,319,5.13,16.139999,313.029968,15
2.87,14.29,314,5.13,16.139999,313.029968,15
2.73,14.29,322,4.14,13.87,308.109985,8
2.79,15.38,310,4.14,13.87,308.109985,8
2.76,14.29,312,4.14,13.87,308.109985,8
2.88,14.29,315,4.14,13.87,308.109985,8
2.9,14.29,311,4.14,13.87,308.109985,8
3.1,13.33,315,4.14,13.87,308.109985,8
3.04,14.29,307,4.14,13.87,308.109985,8
2.77,15.38,298,4.14,13.87,308.109985,8
3.09,14.29,321,4.14,13.87,308.109985,8
2.87,14.29,319,4.14,13.87,308.109985,8
3.07,13.33,322,4.14,13.87,308.109985,8
2.79,13.33,321,4.14,13.87,308.109985,8
2.93,14.29,317,4.14,13.87,308.109985,8
2.76,14.29,317,4.14,13.87,308.109985,8
2.48,12.5,326,4.14,13.87,308.109985,8
2.38,12.5,326,4.14,13.87,308.109985,8
2.23,12.5,340,4.14,13.87,308.109985,8
2.4,13.33,325,4.14,13.87,308.109985,8
2.33,12.5,336,4.14,13.87,308.109985,8
2.47,13.33,322,4.14,13.87,308.109985,8
2.16,11.76,331,4.14,13.87,308.109985,8
2.26,14.29,326,4.14,13.87,308.109985,8
2.16,14.29,322,4.14,13.87,308.109985,8
2.19,13.33,322,4.14,13.87,308.109985,8
1.96,12.5,321,4.14,13.87,308.109985,8
2.15,13.33,310,4.14,13.87,308.109985,8
2.27,14.29,325,4.14,13.87,308.109985,8
2.13,12.5,328,4.14,13.87,308.109985,8
2.17,13.33,328,3.32,12.4,314.459991,5
2.03,12.5,333,3.32,12.4,314.459991,5
2.04,13.33,331,3.32,12.4,314.459991,5
2.15,13.33,322,3.32,12.4,314.459991,5
2.12,13.33,326,3.32,12.4,314.459991,5
