@relation NoDirectionStrategy

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
1.63,6.67,37,2.03,6.56,74.699997,0.6096
2.09,8.33,30,2.56,7.23,70.449997,1.2192
2.1,8.33,37,2.57,16.449999,182.400009,1.8288
1.63,8.33,37,2.76,7.9,72.409996,1.2192
1.6,7.69,45,2.26,8.08,78.389992,0.6096
1.17,8.33,44,1.95,7.88,81.540001,0.6096
0.9,10.53,333,1.61,8.08,93.830002,0.6096
0.92,4,47,1.48,5.42,82.230003,0.6096
1.4,6.67,24,1.73,6.11,68.739998,1.2192
1.69,10.53,14,1.99,6.5,78.969994,1.8288
1.53,10.53,16,1.97,6.41,81.249992,1.2192
1.45,6.67,47,2.15,6.53,82.989998,1.2192
1.24,10.53,343,1.77,6.92,91.57,0.6096
1.02,7.69,45,1.65,7.56,98.510002,0.6096
0.72,7.14,44,1.47,7.54,97.779999,2.4384
1.88,11.76,346,2.13,11.01,330.799988,3.048
1.91,11.11,333,2.09,10.33,335.199982,3.048
1.94,12.5,325,2.11,10.45,333.75,3.6576
1.86,13.33,349,1.94,13.139999,187.729996,1.8288
1.13,10.53,348,1.6,10.05,347.540009,1.8288
1.54,7.69,44,1.86,7,79.599998,1.2192
1.5,8.33,42,1.85,6.96,80.479996,1.2192
1.72,9.09,41,1.85,7.38,76.889999,0.6096
1.76,9.09,44,2.06,8.79,74.040001,1.2192
1.69,9.09,38,2.14,8.96,75.379997,1.2192
2.05,13.33,317,2.36,8.4,84.419998,3.048
2.26,12.5,321,2.37,8.429999,84.049995,2.4384
1.7,11.11,314,2.3,8.26,77.259995,1.2192
1.28,9.09,18,1.83,7.95,69.949997,0.6096
1.23,8.33,37,1.66,7.77,62.379997,1.2192
1.3,15.38,249,1.73,14.47,193.259995,1.2192
1.37,9.88,33,1.8,13.03,193.110001,1.8288
1.99,15.38,325,2.03,14.559999,313.48999,3.6576
2.05,15.38,322,2.08,14.26,313.48999,3.6576
1.94,13.33,322,2.49,12.299999,319.619995,5.4864
2.96,12.5,329,3.56,12.14,329.889984,6.096
2.8,12.5,328,3.37,11.93,330.679993,4.8768
3.23,18.18,312,2.34,9.51,340.22998,10.9728
3.48,16.67,321,2.87,15.09,318.570007,9.144
2.91,15.38,317,3.06,13.56,319.859985,4.2672
1.94,11.76,321,2.27,11.17,319.98999,2.4384
1.52,11.76,333,2.07,9.79,321.589996,2.4384
1.85,14.29,346,2.12,12.219999,333.419983,1.8288
1.89,13.33,336,2.54,13.219999,323.910004,3.048
1.9,11.76,331,2.58,12.61,327.25,3.048
1.79,16.67,314,2.06,7.73,96.509995,4.8768
1.72,15.38,308,2.08,7.75,96.889999,3.6576
3.17,18.18,329,2.43,10.98,319.959991,12.192
4.46,15.38,343,4.14,14.279999,338.98999,12.192
4.17,16.67,342,3.97,13.75,336.080017,6.7056
3.26,14.29,343,2.97,12.18,342.649994,4.2672
2.65,12.5,345,2.31,11.44,343.309998,3.048
1.73,12.5,348,1.94,10.4,336.850006,1.8288
1.1,11.11,335,1.45,9.65,327.439972,2.4384
2.11,12.5,310,2.32,12.54,306.700012,4.8768
2.2,13.33,310,2.33,12.5,306.789978,3.6576
1.78,11.76,314,2.02,11.51,309.099976,3.048
1.64,11.11,340,2.15,12.190001,314.839996,3.6576
1.89,14.29,332,2.22,14.440001,327.959991,3.6576
1.81,12.5,326,2.13,12.35,316.559998,3.048
1.59,11.76,333,2.05,11.860001,316.659973,2.4384
2.84,10.53,340,2.57,10.93,314.799988,3.6576
2.59,9.88,356,2.55,10.809999,314.600006,3.6576
2.19,11.76,333,2.42,10.219999,320.779999,3.048
1.74,9.88,350,2.12,9.75,322.100006,3.048
3.96,13.33,317,3.6,6.86,28.889999,4.8768
3.79,9.09,3,3.78,7.16,40.57,3.6576
2.86,9.88,346,3.5,7.76,57.849998,3.048
2.44,10.53,357,2.81,8.360001,65.290001,1.8288
1.59,10.53,4,2.22,8.2,69.659996,3.6576
2.97,16.67,321,3.21,15.259999,327.889984,8.5344
3.28,14.29,326,3.36,13.4,323.75,7.3152
2.77,14.29,326,3.25,13.299999,323.390015,4.8768
3.56,16.67,319,3.93,13.75,326.199982,9.144
3.64,15.38,314,3.64,14.04,318.929993,5.4864
4.34,20,319,3.76,17.959999,320.72998,12.192
4.79,16.67,324,5.46,16.16,319.369995,16.4592
4.63,16.67,324,4.95,15.13,319.139984,9.7536
3.1,14.29,322,3.67,13.289999,317.209991,4.8768
4.89,15.38,345,3.65,11.679999,330.799988,9.144
5.27,16.67,343,3.74,12.1,336.269989,10.9728
4.76,16.67,352,3.51,13.27,342.059967,5.4864
3.07,16.67,308,3.1,14.629999,310.130005,8.5344
3.08,15.38,304,3.26,14.3,309.119995,6.096
4.11,15.38,331,3.63,13.139999,315.170013,7.3152
3.54,13.33,324,3.21,12.08,318.920013,6.096
3.85,15.38,321,3.19,14.690001,312.690002,10.3632
3.93,14.29,307,3.71,14.3,312.25,8.5344
